"Group","SampID","Type..sediment.or.soil.","Easting","Northing","Depth_upper_cm","Depth_lower_cm","pH","EC","Sample.ID","Group.1","Sample","ICP.Sample.ID","weight","volume","Al","As","Ba","Ca","Cd","Ce","Co","Cr","Cu","Fe","Gd","K","La","Li","Mg","Mn","Mo","Na","Nd","Ni","P","Pb","S","Sr","Th","V","Y","Zn","Longitude","Latitude"
6,"1","",400328,6468226,NA,"",NA,NA,"Group 2 Sample 3",2,"3","ENVT 3361_AR dig_41",0.301,20,14152.07,7.379,68.562,8995.236,0.222,19.019,33.028,16.172,201.225,28231.441,1.892,396.443,12.198,4.954,1075.556,74.637,0.958,1323.793,7.687,9.988,2033.569,28.304,13977.587,51.192,2.032,27.225,4.011,2789.277,115.945740775843,-31.9174810727704
6,"2","",400336,6468228,NA,"",NA,NA,"Group 2 Sample 4",2,"4","ENVT 3361_AR dig_42",0.31,20,3731.841,1.282,10.988,1391.096,0.037,6.08,4.322,3.777,NA,3518.287,NA,161.048,2.818,1.627,270.521,10.75,0.21,352.426,2.007,NA,243.773,6.157,1576.998,11.847,0.478,5.252,1.029,502.926,115.945825587651,-31.9174637340412
6,"3","",400341,6468228,NA,"",NA,NA,"Group 2 Sample 5",2,"5","ENVT 3361_AR dig_43",0.305,20,2674.897,0.994,7.142,1094.476,0.027,3.716,4.489,3.044,8.832,2850.509,NA,83.055,2.259,1.029,183.128,8.926,0.143,212.249,1.617,NA,169.796,6.802,1111.05,5.885,0.416,4.458,0.777,380.718,115.945878466414,-31.9174641728054
6,"4","",400349,6468226,NA,"",NA,NA,"Group 2 Sample 6",2,"6","ENVT 3361_AR dig_44",0.298,20,4499.399,2.789,15.124,2170.19,0.078,6.816,25.067,4.721,7.673,7538.446,0.769,166.481,3.914,1.654,392.401,77.911,0.307,368.09,2.492,NA,420.086,9.155,3163.117,14.461,2.611,10.092,1.59,981.62,115.945962866691,-31.9174829155811
6,"5","",400356,6468229,NA,"",NA,NA,"Group 2 Sample 7",2,"7","ENVT 3361_AR dig_45",0.3,20,5870.028,2.134,23.274,2006.709,0.043,8.308,29.865,7.076,NA,11143.974,0.684,159.633,3.91,1.56,353.231,138.542,0.237,304.531,2.933,NA,521.16,10.714,1675.931,13.876,2.152,12.752,1.494,700.624,115.946037205575,-31.9174564685662
6,"6","",400364,6468230,NA,"",NA,NA,"Group 2 Sample 8",2,"8","ENVT 3361_AR dig_46",0.301,20,14662.605,7.567,25.54,6639.937,0.443,19.488,40.663,19.858,44.318,32962.318,1.975,1599.616,13.19,11.682,6872.115,151.768,6.664,33719.223,8.258,15.743,1075.153,40.029,40942.818,98.486,2.945,33.58,4.885,5210.448,115.946121914453,-31.9174481500373
6,"7","",400370,6468229,NA,"",NA,NA,"Group 2 Sample 9",2,"9","ENVT 3361_AR dig_47",0.306,20,35637.919,1.038,37.306,2229.992,0.167,73.548,15.126,54.554,27.092,54762.69,5.93,2170.297,42.541,52.304,3533.105,199.439,2.381,8222.372,29.13,18.842,378.887,24.343,1725.747,43.33,15.105,82.983,20.937,113.647,115.946185266113,-31.9174576968035
6,"8","",400378,6468229,NA,"",NA,NA,"Group 2 Sample 10",2,"10","ENVT 3361_AR dig_48",0.309,20,8214.876,4.704,23.308,1841.976,0.156,11.185,10.388,11.857,19.17,11440.836,1.158,486.068,6.945,4.636,1691.438,26.65,1.705,8905.198,4.617,5.589,622.703,24.93,6688.027,22.913,1.204,16.945,2.438,1119.983,115.946269872138,-31.917458398576
6,"9","",400387,6468228,NA,"",NA,NA,"Group 10 Sample 1",10,"1","ENVT 3361_AR dig_51",0.303,20,42773.785,2.238,94.51,3069.15,0.104,100.17,11.925,79.803,170.768,35331.592,7,3050.269,51.079,35.314,4885.592,92.712,1.174,11533.929,41.047,29.17,375.649,60.613,2759.079,54.934,22.78,80.753,22.001,210.886,115.946364951087,-31.9174682084033
6,"10","",400396,6468227,NA,"",NA,NA,"Group 10 Sample 2",10,"2","ENVT 3361_AR dig_52",0.318,20,36800.644,1.845,81.172,3180.473,0.227,116.72,15.844,69.11,176.179,43136.259,7.893,3167.414,59.723,35.886,5414.658,147.56,1.641,15871.068,46.337,29.057,421.432,53.827,3907.375,61.902,19.066,82.918,28.971,246.582,115.946460030058,-31.9174780181598
5,"1","soil",400315,6468224,0,"10",6.04,3660,"Group 10 Sample 4",10,"4","ENVT 3361_AR dig_54",0.309,20,44013.48,5.953,129.807,1663.312,0.253,159.183,11.194,69.464,61.044,56240.138,11.96,2761.423,69.684,44.003,3966.694,115.296,5.874,9666.518,65.257,25.013,254.308,47.408,1654.428,51.575,16.365,115.647,42.06,116.369,115.945603085227,-31.9174979725849
5,"2","soil",400303,6468233,0,"10",6.21,2312,"Group 10 Sample 5",10,"5","ENVT 3361_AR dig_55",0.308,20,40355.336,4.709,84.778,1694.492,0.157,67.203,8.946,63.141,88.164,42755.597,5.359,2448.805,32.496,34.794,3912.338,70.572,8.219,10840.014,28.615,19.677,242.955,38.794,1917.024,40.036,17.448,117.537,15.407,114.147,115.945477102445,-31.9174157356559
